Name,URL,Location,Score,Reviews,Main Categories,Average Response Time,On time Delivery Rate,Total Orders so far,Total Order Amount,Services,Quality Control,Certificates,Floor Space,Annual Export Revenue (USD),Production Lines,Total Annual Output (Units),Production Machines,Quality Control on All Lines,QA/QC Inspectors,Main Markets,Main Client Types,Customization Options,New Products Launched Last Year,R&D Engineers
"Shenzhen Ledora Lighting Co., Ltd.",,"Guangdong, China ",4.8,52 reviews,≤4h,97.6%,- orders,-1,-1,,,-1,9315682,-1,-1,-1,Yes,-1,"North America(30%), Southeast Asia(20%), Domestic Market(15%)",,"Retailer, Engineer, Wholesaler, Brand business, For private use, Manufacturer","sample processing, graphic processing, customized on demand",20,3
"Zhongshan Shuangyun Electrical Co., Ltd.",,"Guangdong, China ",4.6,24 reviews,≤3h,100.0%,- orders,-1,-1,,,4000,-1,4,-1,12,-1,2,"Africa(40%), Mid East(40%), Southeast Asia(20%)",,"Retailer, Engineer, Wholesaler, Brand business, For private use, Manufacturer","graphic processing, customized on demand",60,1
"Henan Hanyin Industrial Co., Ltd.",,"Henan, China ",5.0,10 reviews,≤2h,97.6%,- orders,-1,-1,,,855,-1,3,-1,15,Yes,1,"North America(60%), Western Europe(20%), Oceania(20%)",,"Retailer, Engineer, Wholesaler, Brand business, For private use, Manufacturer","sample processing, graphic processing, sample processing",103,1
"Zhongshan Millwall Lighting Technology Co., Ltd.",,"Guangdong, China ",5.0,5 reviews,≤2h,100.0%,23 orders,"US $370,000+",-1,,,4500,-1,4,-1,20,Yes,2,"Western Europe(28%), Africa(25%), North America(20%)",,"Retailer, Wholesaler, Brand business, Manufacturer","sample processing, graphic processing, customized on demand, sample processing, graphic processing, customized on demand",130,4
"Ningbo Xiesheng Lighting Industrial Co., Ltd.",,"Zhejiang, China ",4.7,38 reviews,≤3h,92.9%,198 orders,"US $60,000+",-1,,,18719,-1,-1,-1,-1,Yes,16,"Southern Europe(20%), North America(15%), South America(15%)",,"Retailer, Wholesaler, Brand business, For private use, Manufacturer","customized on demand, sample processing, graphic processing",20,10
"Zhongshan Sunlink Lighting Technology Co., Ltd.",,"Guangdong, China ",4.2,13 reviews,≤2h,96.0%,71 orders,"US $40,000+",-1,,,10000,-1,6,32480000,30,Yes,3,"Southeast Asia(27%), South America(23%), Africa(20%)",,-1,"light customization, sample processing",48,1
"Ganzhou Badu Technology Co., Ltd.",,"Jiangxi, China ",4.8,125 reviews,≤2h,99.6%,1009 orders,"US $550,000+",-1,,,3565,952279,2,-1,20,Yes,1,"Domestic Market(65%), North America(30%), South America(5%)",,"Retailer, Engineer, Wholesaler, Brand business, For private use, Manufacturer","no, sample processing, graphic processing, customized on demand",30,2
Adled Light Limited,,Hong Kong S.A.R. ,5.0,2 reviews,≤2h,100.0%,- orders,-1,-1,,,-1,1310000,-1,-1,-1,Yes,1,"Eastern Europe(23%), Southern Europe(12%), North America(11%)",,"Retailer, Engineer, Wholesaler, Brand business, For private use, Manufacturer","sample processing, graphic processing, customized on demand",20,1
"Zhongshan Shiyu Lighting Co., Ltd.",,"Guangdong, China ",4.8,17 reviews,≤2h,92.6%,38 orders,"US $20,000+",-1,,,800,-1,1,-1,5,Yes,1,"North America(60%), Mid East(30%), Western Europe(10%)",,"Retailer, Engineer, Wholesaler, Brand business, For private use, Manufacturer","sample processing, graphic processing, customized on demand",10,1
Zhongshan Leidu Lighting Electric Appliance Factory,,"Guangdong, China ",4.2,22 reviews,≤2h,97.6%,161 orders,"US $170,000+",-1,,,7500,-1,5,3000000,23,Yes,3,"Eastern Europe(30%), South America(13%), Western Europe(10%)",,"Retailer, Engineer, Wholesaler, Brand business, Manufacturer","light customization, sample processing, graphic processing, customized on demand",200,5
"Guangzhou Xingdian Lighting Technology Co., Ltd.",,"Guangdong, China ",4.8,114 reviews,≤2h,98.2%,- orders,-1,-1,,,6623,3895643,8,70000,-1,Yes,3,"North America(25%), South America(15%), Eastern Europe(10%)",,"Retailer, Engineer, Wholesaler, Brand business, For private use, Manufacturer","sample processing, graphic processing, customized on demand",15,5
"Shenzhen Huya Lighting Co., Limited",,"Guangdong, China ",4.7,5 reviews,≤3h,89.8%,91 orders,"US $300,000+",-1,,,1000,-1,2,1800000,3,Yes,1,"Western Europe(60%), North America(20%), Oceania(10%)",,"Retailer, Engineer, Wholesaler, Brand business","sample processing, graphic processing, customized on demand",12,1
Zhongshan Henglan Bihua Lighting Electric Appliance Factory,,"Guangdong, China ",4.6,11 reviews,≤2h,96.2%,37 orders,"US $30,000+",-1,,,4000,-1,8,6300000,58,Yes,1,"South America(25%), Mid East(20%), Southeast Asia(10%)",,"Engineer, Wholesaler, Brand business, Manufacturer","light customization, sample processing, graphic processing, customized on demand",5,1
Zhongshan Guzhen Luoao Lighting Factory,,"Guangdong, China ",4.6,39 reviews,≤3h,99.3%,239 orders,"US $240,000+",-1,,,4000,2358113,3,-1,20,Yes,2,"Domestic Market(30%), North America(10%), Eastern Europe(10%)",,"Retailer, Wholesaler, Brand business, For private use","sample processing, graphic processing, customized on demand",-1,5
"Zhongshan Iwork Lighting Co., Ltd.",,"Guangdong, China ",3.6,5 reviews,≤3h,97.4%,74 orders,"US $70,000+",-1,,,1800,-1,-1,-1,-1,Yes,3,"Mid East(22%), North America(15%), South America(10%)",,"Retailer, Engineer, Wholesaler, Brand business, Manufacturer","sample processing, graphic processing, customized on demand",20,3
"Shenzhen Joyinled Technology Co., Ltd.",,"Guangdong, China ",4.4,123 reviews,≤4h,97.6%,618 orders,"US $190,000+",-1,,,1060,-1,2,2000000,-1,Yes,2,"Western Europe(30%), Northern Europe(20%), Southern Europe(15%)",,"Retailer, Engineer, Wholesaler, Brand business, For private use, Manufacturer","light customization, customized on demand, sample processing, graphic processing, light customization, sample processing, graphic processing, customized on demand",45,3
"Shenzhen Bbier Lighting Co., Ltd.",,"Guangdong, China ",5.0,5 reviews,≤2h,92.9%,31 orders,"US $310,000+",-1,,,4080,3076923,4,-1,-1,Yes,2,"North America(50%), South America(10%), Eastern Europe(10%)",,"Retailer, Wholesaler, Brand business","sample processing, graphic processing, customized on demand",30,4
"Jiangmen Xinshili Photoelectric Co., Ltd.",,"Guangdong, China ",-1,-1,≤16h,100.0%,- orders,-1,-1,,,13400,-1,-1,1243000000,87,Yes,3,"Southeast Asia(45%), Eastern Europe(15%), Mid East(15%)",,"Retailer, Engineer, Wholesaler, Brand business, For private use, Manufacturer","light customization, sample processing, graphic processing",5,2
"Shenzhen Sresky Co., Ltd.",,"Guangdong, China ",4.7,7 reviews,≤3h,88.9%,- orders,-1,-1,,,13600,-1,10,-1,-1,Yes,14,"Africa(21%), North America(20%), South America(10%)",,"Retailer, Engineer, Wholesaler, Brand business, For private use, Manufacturer","light customization, sample processing, graphic processing, customized on demand",18,20
"Shenzhen Hiorange Lighting Co., Ltd.",,"Guangdong, China ",5.0,1 reviews,≤3h,100.0%,- orders,-1,-1,,,4620,-1,2,-1,12,Yes,5,"Western Europe(72%), Oceania(23%), Southeast Asia(3%)",,"Retailer, Engineer, Wholesaler, Brand business, For private use, Manufacturer","sample processing, graphic processing, customized on demand, sample processing, graphic processing, customized on demand",24,6
"Shandong Fandiluo Arts & Crafts Co., Ltd.",,"Shandong, China ",4.8,4 reviews,≤4h,100.0%,25 orders,"US $170,000+",-1,,,6800,-1,5,-1,16,Yes,3,"North America(20%), South America(10%), Southeast Asia(10%)",,"Retailer, Engineer, Wholesaler, Brand business, For private use, Manufacturer","light customization, customized on demand, sample processing, graphic processing",50,3
"MARS STAGE LIGHTING&AUDIO EQUIPMENT CO., LIMITED",,Hong Kong S.A.R. ,5.0,1 reviews,≤4h,88.9%,- orders,-1,-1,,,5400,4800000,8,1600000,-1,Yes,5,"Western Europe(20%), North America(15%), Southeast Asia(15%)",,"Retailer, Engineer, Wholesaler, Brand business, Manufacturer","sample processing, graphic processing, customized on demand, sample processing, graphic processing, customized on demand",15,6
"Ningbo Brightenlux Outdoor Products Co., Ltd.",,"Zhejiang, China ",4.8,37 reviews,≤3h,86.4%,155 orders,"US $670,000+",-1,,,7530,6104246,3,-1,103,Yes,6,"North America(40%), Western Europe(10%), South America(5%)",,"Retailer, Engineer, Wholesaler, Brand business","light customization, sample processing, graphic processing, customized on demand, light customization, sample processing, graphic processing, customized on demand",44,13
"Shenzhen Ranpo Lighting Technology Co., Ltd.",,"Guangdong, China ",4.8,70 reviews,≤7h,98.3%,449 orders,"US $180,000+",-1,,,570,-1,1,-1,1,No,1,"North America(30%), Oceania(20%), Western Europe(20%)",,"Retailer, Wholesaler, Brand business, For private use, Manufacturer","light customization, light customization, sample processing, graphic processing, customized on demand",35,1
"Zhongshan Kaijie Lighting Co., Ltd.",,"Guangdong, China ",4.7,54 reviews,≤2h,99.2%,256 orders,"US $570,000+",-1,,,6000,3000000,6,-1,19,Yes,6,"North America(25%), South America(25%), Eastern Europe(22%)",,"Retailer, Engineer, Wholesaler, Brand business, For private use, Manufacturer","sample processing, graphic processing, customized on demand",100,2
"Guangzhou Skydance Co., Ltd.",,"Guangdong, China ",4.9,25 reviews,≤6h,92.2%,- orders,-1,-1,,,-1,-1,-1,-1,30,Yes,10,"Domestic Market(41%), Western Europe(14%), Southern Europe(10%)",,"Retailer, Engineer, Wholesaler, Brand business, For private use, Manufacturer","sample processing, graphic processing, customized on demand",200,30
"Zhongshan Starlit Lighting Co., Ltd.",,"Guangdong, China ",-1,-1,≤4h,100.0%,2 orders,"US $2,000+",-1,,,3300,-1,6,-1,8,Yes,2,"Mid East(80%), Southeast Asia(5%), Africa(5%)",,"Retailer, Engineer, Wholesaler, Brand business","sample processing, graphic processing, customized on demand",8,2
"Zhongshan Keyun Electronics Co., Ltd.",,"Guangdong, China ",4.8,15 reviews,≤1h,100.0%,61 orders,"US $20,000+",-1,,,25000,-1,6,-1,77,Yes,20,"North America(10%), South America(10%), Eastern Europe(10%)",,"Retailer, Engineer, Wholesaler, Brand business, Manufacturer","graphic processing, light customization, customized on demand, sample processing",100,33
"Guangzhou Cheng Wen Photoelectric Technology Co., Ltd.",,"Guangdong, China ",4.6,53 reviews,≤4h,96.0%,- orders,-1,-1,,,7300,-1,18,198000,10,Yes,4,"North America(13%), Southeast Asia(13%), South America(12%)",,"Retailer, Engineer, Wholesaler, Brand business, For private use, Manufacturer","graphic processing, customized on demand, sample processing",15,7
"Zhongshan Yixin Lighting Co., Ltd.",,"Guangdong, China ",4.8,27 reviews,≤4h,100.0%,94 orders,"US $50,000+",-1,,,6000,2387078,5,200000,20,Yes,3,"Mid East(30%), Western Europe(30%), North America(20%)",,"Retailer, Engineer, Wholesaler, Brand business, For private use, Manufacturer","light customization, sample processing, graphic processing, customized on demand, light customization, sample processing, graphic processing, customized on demand",350,4
"Chuzhou Eastern Star International Trading Co., Ltd.",,"Anhui, China ",4.9,36 reviews,≤1h,100.0%,- orders,-1,-1,,,3190,5422598,8,6500000,24,Yes,8,"South America(10%), Eastern Europe(10%), Southeast Asia(10%)",,"Wholesaler, Brand business, Manufacturer","sample processing, graphic processing, customized on demand, light customization, sample processing, graphic processing, customized on demand",60,1
"Guangzhou Xingdian Lighting Technology Co., Ltd.",,"Guangdong, China ",4.7,49 reviews,≤2h,99.2%,- orders,-1,-1,,,6000,-1,12,160000,-1,Yes,5,"Western Europe(49%), Domestic Market(20%), Central America(10%)",,"Retailer, Engineer, Wholesaler, Brand business, Manufacturer","light customization, sample processing, graphic processing, customized on demand",15,6
"Jiangsu Fine Technology Co., Ltd.",,"Jiangsu, China ",5.0,4 reviews,≤7h,91.7%,26 orders,"US $10,000+",-1,,,4500,-1,-1,-1,-1,Yes,5,"North America(25%), Domestic Market(20%), Southeast Asia(10%)",,"Retailer, Engineer, Wholesaler, Brand business, For private use, Manufacturer","light customization, sample processing, graphic processing, customized on demand, light customization, sample processing, graphic processing, customized on demand",120,3
"Zhongshan Baojiang Lighting Technology Co., Ltd.",,"Guangdong, China ",4.8,9 reviews,≤2h,100.0%,- orders,-1,-1,,,2380,1600000,2,163000,3,Yes,4,"Western Europe(23%), Domestic Market(20%), North America(15%)",,"Retailer, Engineer, Wholesaler, Brand business, For private use, Manufacturer","sample processing, graphic processing, customized on demand, no",210,2
"Dongguan Yuanda Century Lighting Technology Co., Ltd.",,"Guangdong, China ",5.0,7 reviews,≤4h,100.0%,- orders,-1,-1,,,3300,-1,4,-1,15,Yes,8,"North America(50%), Western Europe(30%), Eastern Asia(10%)",,"Retailer, Engineer, Wholesaler, Brand business, For private use, Manufacturer","sample processing, graphic processing, customized on demand, sample processing, graphic processing, customized on demand",54,5
Shenzhen Smart LED Limited,,"Guangdong, China ",5.0,10 reviews,≤5h,80.8%,93 orders,"US $60,000+",-1,,,2528,-1,1,408000,2,Yes,2,"Mid East(20%), Eastern Europe(10%), Southeast Asia(10%)",,"Wholesaler, Manufacturer","customized on demand, graphic processing, sample processing, light customization, light customization, sample processing, graphic processing, customized on demand",95,3
"Zhongshan Dengxiaoniu Lighting Appliance Co., Ltd.",,"Guangdong, China ",4.8,16 reviews,≤2h,97.5%,87 orders,"US $170,000+",-1,,,2400,3000000,4,103000,18,Yes,2,"North America(40%), Mid East(20%), Western Europe(20%)",,"Retailer, Engineer, Wholesaler, Brand business, For private use, Manufacturer","light customization, sample processing, graphic processing, customized on demand",10000,4
"Zhejiang Intbright Technology Co., Ltd.",,"Zhejiang, China ",4.8,15 reviews,≤6h,89.3%,115 orders,"US $60,000+",-1,,,18972,5834116,3,-1,37,Yes,3,"North America(35%), Eastern Europe(18%), Western Europe(18%)",,"Retailer, Wholesaler, Brand business, For private use, Manufacturer","light customization, sample processing, graphic processing, customized on demand",-1,3
"Zhongshan Wingland Electrical Appliances Co., Ltd.",,"Guangdong, China ",4.8,19 reviews,≤2h,100.0%,154 orders,"US $160,000+",-1,,,1500,-1,1,-1,5,Yes,1,"North America(20%), Mid East(20%), Domestic Market(20%)",,"Retailer, Wholesaler, Brand business, For private use","sample processing, graphic processing, customized on demand, sample processing, graphic processing, customized on demand",140,1
"Guangdong Lavius Lighting Co., Ltd.",,"Guangdong Province, China ",-1,-1,≤3h,100.0%,8 orders,"US $20,000+",-1,,,5000,1014376,8,-1,50,Yes,3,"Mid East(45%), North America(38%), Domestic Market(5%)",,"Retailer, Wholesaler, Brand business, Manufacturer","sample processing, graphic processing, customized on demand, sample processing, graphic processing, customized on demand",10,3
"Shenzhen Yaopeng Wanshan Supply Chain Co., Ltd.",,"Guangdong, China ",4.8,69 reviews,≤3h,98.8%,202 orders,"US $1,300,000+",-1,,,2200,11711713507,15,225000,30,Yes,2,"North America(30%), Eastern Europe(15%), Western Europe(15%)",,"Retailer, Wholesaler, Brand business, For private use","customized on demand, graphic processing, sample processing, no",136,2
Shenzhen Lepulighting Technology Ltd.,,"Guangdong, China ",5.0,4 reviews,≤6h,81.0%,37 orders,"US $20,000+",-1,,,730,-1,2,364200,26,Yes,1,"Northern Europe(45%), Western Europe(20%), North America(10%)",,"Retailer, Engineer, Wholesaler, Brand business, For private use, Manufacturer","sample processing, graphic processing, customized on demand",55,2
"Shenzhen Redfarm Co., Ltd.",,"Guangdong, China ",4.9,61 reviews,≤2h,93.8%,130 orders,"US $620,000+",-1,,,1000,-1,3,-1,-1,Yes,1,"North America(64%), Western Europe(25%), Eastern Europe(5%)",,"Retailer, Engineer, Wholesaler, Brand business, For private use, Manufacturer","sample processing, graphic processing, customized on demand",5,2
"Foshan Field Smart Lighting Co., Ltd.",,"Guangdong, China ",5.0,2 reviews,≤4h,100.0%,26 orders,"US $10,000+",-1,,,50000,-1,12,-1,150,Yes,18,"North America(95%), South America(5%)",,"Retailer, Wholesaler, Brand business, For private use, Manufacturer","sample processing, graphic processing, customized on demand",100,20
"Guangzhou Felicity Solar Technology Co., Ltd.",,"Guangdong, China ",4.8,22 reviews,≤8h,100.0%,34 orders,"US $4,500,000+",-1,,,44483,136169535,4,660000,19,Yes,15,-1,,"Retailer, Engineer, Wholesaler, Brand business, For private use, Manufacturer","sample processing, graphic processing, customized on demand",11,82
"Zhongshan Sanliang Lighting Co., Ltd.",,"Guangdong, China ",5.0,11 reviews,≤7h,100.0%,102 orders,"US $70,000+",-1,,,1450,-1,-1,64000,-1,Yes,1,"North America(50%), South America(10%), Eastern Europe(5%)",,"Retailer, Engineer, Wholesaler, Brand business, For private use, Manufacturer","light customization, sample processing, graphic processing, customized on demand, no",200,1
"Yancheng Jingxin Glassware Co., Ltd.",,"Jiangsu, China ",4.0,12 reviews,≤8h,90.7%,77 orders,"US $220,000+",-1,,,4267,363280,1,-1,13,Yes,4,"North America(25%), Domestic Market(20%), Northern Europe(10%)",,"Retailer, Engineer, Wholesaler, Brand business, For private use, Manufacturer","sample processing, graphic processing, customized on demand",400,2
"Zhejiang Bozhou Marine Electric Technology Co., Ltd.",,"Zhejiang, China ",4.9,17 reviews,≤7h,100.0%,60 orders,"US $90,000+",-1,,,5320,-1,-1,-1,-1,Yes,4,"Domestic Market(50%), Southeast Asia(20%), North America(10%)",,"Retailer, Engineer, Wholesaler, Brand business, For private use, Manufacturer","sample processing, graphic processing, customized on demand",15,12
"Shenzhen Weite Shijia Technology Co., Ltd.",,"Guangdong, China ",4.9,10 reviews,≤5h,93.5%,57 orders,"US $390,000+",-1,,,12331,25373135,4,-1,50,Yes,11,"Domestic Market(45%), Eastern Asia(20%), Western Europe(20%)",,"Retailer, Wholesaler, Brand business, For private use, Manufacturer","sample processing, graphic processing, customized on demand",-1,14
Zhongshan Sunshine Lighting Technology Ltd,,"Guangdong, China ",5.0,6 reviews,≤2h,100.0%,- orders,-1,-1,,,1800,-1,4,-1,5,Yes,2,"North America(50%), Southeast Asia(30%), Eastern Europe(20%)",,"Retailer, Engineer, Wholesaler, Brand business, For private use, Manufacturer","sample processing, graphic processing, customized on demand",300,1
Zhongshan Tyson Lighting Factory,,"Guangdong, China ",4.5,29 reviews,≤3h,100.0%,91 orders,"US $120,000+",-1,,,6000,-1,-1,500000,-1,Yes,4,"North America(20%), Eastern Europe(10%), Oceania(10%)",,"Retailer, Engineer, Wholesaler, For private use, Brand business","light customization, sample processing, graphic processing, customized on demand, sample processing, graphic processing, customized on demand",120,6
"Linhai Greenwood Lighting Co., Ltd.",,"Zhejiang, China ",4.7,55 reviews,≤8h,94.8%,208 orders,"US $170,000+",-1,,,2000,1142800,-1,-1,-1,Yes,1,"Eastern Europe(30%), North America(20%), South America(10%)",,"Retailer, Engineer, Wholesaler, Brand business, For private use, Manufacturer","sample processing, graphic processing, customized on demand",-1,1
BUCKINGHAM INDUSTRIAL CORPORATION,,"Taiwan, China ",4.8,13 reviews,≤7h,100.0%,27 orders,"US $20,000+",-1,,,24871,-1,-1,-1,-1,Yes,12,"North America(53%), Western Europe(38%), Oceania(5%)",,"Retailer, Engineer, Wholesaler, Brand business, For private use, Manufacturer","customized on demand, sample processing, sample processing, graphic processing, customized on demand",120,15
"Ningbo Mengting Outdoor Implement Co., Ltd.",,"Zhejiang, China ",5.0,2 reviews,≤4h,100.0%,33 orders,"US $30,000+",-1,,,2800,3655416,2,1800000,6,Yes,3,"North America(30%), Western Europe(30%), Eastern Europe(10%)",,"Retailer, Engineer, Wholesaler, Brand business, Manufacturer","sample processing, customized on demand, graphic processing",40,1
"Shenzhen Moonlight Co., Ltd.",,"Guangdong, China ",4.3,34 reviews,≤1h,99.3%,276 orders,"US $250,000+",-1,,,-1,-1,-1,-1,-1,Yes,-1,-1,,"Retailer, Wholesaler, Brand business, Manufacturer",-1,-1,-1
"Zhongshan Hanmei Lighting Electric Appliance Co., Ltd.",,"Guangdong, China ",4.7,12 reviews,≤2h,91.2%,- orders,-1,-1,,,3600,5000000,4,600000,20,Yes,3,"Domestic Market(16%), North America(15%), Eastern Europe(15%)",,"Retailer, Engineer, Wholesaler, Brand business, For private use, Manufacturer","sample processing, graphic processing, customized on demand",120,2
Shenzhen Jianbiao Digital Trade Ltd.,,"Guangdong, China ",4.8,49 reviews,≤3h,96.1%,247 orders,"US $280,000+",-1,,,3198,3471631,4,-1,18,Yes,3,"Western Europe(40%), Northern Europe(20%), North America(13%)",,"Retailer, Engineer, Wholesaler, Brand business, For private use, Manufacturer","sample processing, graphic processing, customized on demand, sample processing, graphic processing, customized on demand",170,7
Guangzhou Nansha Jingchang Ceramics & Lamps Fty,,"Guangdong, China ",5.0,1 reviews,≤7h,100.0%,14 orders,"US $240,000+",-1,,,4231,1500000,-1,-1,-1,Yes,3,"Western Europe(18%), Domestic Market(18%), Mid East(17%)",,"Retailer, Engineer, Wholesaler, Brand business, For private use, Manufacturer","sample processing, graphic processing, customized on demand",-1,3
"Hangzhou Kanlong Import & Export Co., Ltd.",,"Zhejiang, China ",4.3,17 reviews,≤3h,100.0%,- orders,-1,-1,,,3196,26018608,2,-1,10,Yes,6,"Western Europe(50%), Northern Europe(25%), North America(10%)",,"Retailer, Wholesaler, Brand business, For private use, Manufacturer","sample processing, graphic processing, customized on demand, sample processing, graphic processing, customized on demand",820,5
"Dongguan Yihao Lighting Co., Ltd",,"Guangdong, China ",4.8,14 reviews,≤2h,98.6%,- orders,-1,-1,,,1325,-1,1,-1,30,Yes,1,"Southeast Asia(37%), Eastern Europe(26%), North America(20%)",,"Retailer, Engineer, Wholesaler, Brand business, For private use, Manufacturer","no, sample processing, graphic processing, customized on demand",30,2
"Zhejiang Sorbo Technology Co., Ltd.",,"Zhejiang, China ",4.9,20 reviews,≤2h,100.0%,87 orders,"US $90,000+",-1,,,21379,8988224,-1,-1,-1,Yes,36,"North America(20%), Western Europe(13%), South America(10%)",,"Retailer, Engineer, Wholesaler, Brand business, For private use, Manufacturer","sample processing, graphic processing, customized on demand",50,24
"Zhongshan Showsun Lighting Co., Ltd.",,"Guangdong, China ",4.9,14 reviews,≤3h,94.5%,78 orders,"US $630,000+",-1,,,2840,1040000,-1,-1,-1,Yes,1,"North America(35%), Eastern Europe(15%), Southeast Asia(5%)",,"Retailer, Engineer, Wholesaler, Brand business, For private use, Manufacturer","light customization, sample processing, graphic processing, customized on demand",-1,4
