Name,URL,Location,Score,Reviews,Main Categories,Average Response Time,On time Delivery Rate,Total Orders so far,Total Order Amount,Services,Quality Control,Certificates,Floor Space,Annual Export Revenue (USD),Production Lines,Total Annual Output (Units),Production Machines,Quality Control on All Lines,QA/QC Inspectors,Main Markets,Main Client Types,Customization Options,New Products Launched Last Year,R&D Engineers
"Jiangxi Kangqi Industrial Co., Ltd.",https://sableskq.en.alibaba.com/factory.html?wx_navbar_transparent=true&productId=1601156439165,"Jiangxi, China ",5.0,2,,≤2h,1.0,-1,-1,"Minor customization, Design-based customization, Sample-based customization, Full customization","Raw-material traceability identification, QA/QC inspectors, Testing instruments, On-site material inspection, Quality traceability",ISO 9001,20638,-1,20,-1,32,Yes,6,"Southeast Asia(30%), Western Europe(20%), Mid East(20%)","Retailer, Wholesaler, Brand business, For private use, Manufacturer","sample processing, graphic processing, customized on demand",100,10
"Weishi County Jiulong Rubber & Plastic Co., Ltd.",https://wsjiulong.en.alibaba.com/factory.html?wx_navbar_transparent=true&productId=1601229244169,"Henan, China ",-1,-1,,≤4h,1.0,-1,-1,"Minor customization, Design-based customization, Sample-based customization, Full customization","Raw-material traceability identification, Finished product inspection, QA/QC inspectors, Testing instruments, On-site material inspection, Quality traceability","ISO14001, ISO 9001, ISO45001",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"Hefei Konlon Bearing Co., Ltd.",https://konlonbearing.en.alibaba.com/factory.html?wx_navbar_transparent=true&productId=60809899442,"Anhui, China ",4.7,28,,≤3h,0.978,262,400000,"Minor customization, Design-based customization, Sample-based customization, Full customization","Raw-material traceability identification, QA/QC inspectors, Testing instruments, On-site material inspection, Quality traceability",ISO 9001,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"Shandong Dena Bearing Co., Ltd.",https://denabearing.en.alibaba.com/factory.html?wx_navbar_transparent=true&productId=1600851246251,"Shandong, China ",4.9,110,,≤1h,1.0,202,290000,"Minor customization, Design-based customization, Sample-based customization, Full customization","Raw-material traceability identification, Finished product inspection, QA/QC inspectors, Testing instruments, On-site material inspection, Quality traceability",-1,2500,-1,10,2213000,51,Yes,8,"North America(30%), South America(30%), Africa(30%)","Retailer, Engineer, Wholesaler, Brand business, For private use, Manufacturer","light customization, sample processing, graphic processing, customized on demand",-1,2
"Jinan Chuanghui International Trade Co., Ltd.",https://jnchgjmy.en.alibaba.com/factory.html?wx_navbar_transparent=true&productId=1600447033841,"Shandong, China ",4.5,14,,≤2h,0.971,74,80000,"Minor customization, Design-based customization, Sample-based customization, Full customization","Raw-material traceability identification, QA/QC inspectors, Testing instruments, On-site material inspection, Quality traceability",2006/42/EC,6060,-1,4,-1,156,Yes,6,"North America(10%), South America(10%), Eastern Europe(10%)","Retailer, Engineer, Wholesaler, Brand business, For private use, Manufacturer","no, sample processing, graphic processing, customized on demand, light customization",20,2
"Shanghai Shangjia Zhikong Hydraulic Co., Ltd.",https://kydac.en.alibaba.com/factory.html?wx_navbar_transparent=true&productId=1601089396172,"Shanghai, China ",4.6,2,,≤3h,1.0,-1,-1,"Minor customization, Design-based customization, Sample-based customization, Full customization","Raw-material traceability identification, Finished product inspection, QA/QC inspectors, Testing instruments, On-site material inspection, Quality traceability, Warranty available",-1,14040,-1,3,-1,-1,Yes,2,Domestic Market(100%),"Retailer, Wholesaler, Brand business, For private use, Manufacturer","sample processing, graphic processing, customized on demand",-1,1
"Wuxi East Ai Machinery Technology Co., Ltd.",https://eastaimachinery.en.alibaba.com/factory.html?wx_navbar_transparent=true&productId=1601015603267,"Jiangsu, China ",5.0,4,,≤2h,1.0,-1,-1,"Design-based customization, Sample-based customization, Full customization","Raw-material traceability identification, Finished product inspection, QA/QC inspectors, Testing instruments, On-site material inspection, Quality traceability",-1,1800,-1,1,-1,11,Yes,1,"Mid East(39%), Eastern Europe(30%), Southeast Asia(20%)","Retailer, Engineer, Wholesaler, Brand business, For private use, Manufacturer","sample processing, graphic processing, customized on demand, sample processing, graphic processing, customized on demand",65,5
"Victory Machinery Technology Co., Ltd.",https://czvictory666.en.alibaba.com/factory.html?wx_navbar_transparent=true&productId=1600966596471,"Jiangsu, China ",4.9,15,,≤1h,1.0,-1,-1,"Minor customization, Design-based customization, Sample-based customization, Full customization, On-site technical support","Raw-material traceability identification, Finished product inspection, QA/QC inspectors, Testing instruments, On-site material inspection, Quality traceability, Warranty available",CE,8899,-1,6,-1,42,Yes,4,"Eastern Europe(20%), Domestic Market(20%), North America(15%)","Retailer, Engineer, Wholesaler, Brand business, For private use, Manufacturer","no, sample processing, graphic processing, customized on demand",10,4
"Shenzhen Zhongda Motor Co., Ltd.",https://zdmotor8.en.alibaba.com/factory.html?wx_navbar_transparent=true&productId=1600732197762,"Guangdong, China ",4.6,14,,≤5h,0.971,57,10000,"Minor customization, Design-based customization, Sample-based customization, Full customization","Raw-material traceability identification, Finished product inspection, QA/QC inspectors, Testing instruments, On-site material inspection, Quality traceability, Warranty available","ISO 9001, CE",1500,-1,6,-1,50,Yes,3,-1,"Retailer, Engineer, Wholesaler, Brand business, For private use, Manufacturer","light customization, sample processing, graphic processing, customized on demand",15,4
JINAN LBR BEARING CO LTD,https://ylbearing.en.alibaba.com/factory.html?wx_navbar_transparent=true&productId=1600361227746,"Shandong, China ",4.8,25,,≤3h,0.9490000000000001,274,420000,"Minor customization, Design-based customization, Sample-based customization, Full customization","Raw-material traceability identification, Finished product inspection, QA/QC inspectors, Testing instruments, On-site material inspection, Quality traceability","ISO 9001, CE, RoHS",3128,-1,-1,-1,-1,Yes,2,"North America(30%), South America(20%), Southeast Asia(20%)","Retailer, Wholesaler, Brand business, For private use, Manufacturer","no, light customization, sample processing, graphic processing, customized on demand",12,1
"Hangzhou Ocean Industry Co., Ltd.",https://hzoic.en.alibaba.com/factory.html?wx_navbar_transparent=true&productId=1601197000146,"Zhejiang, China ",5.0,32,,≤2h,1.0,67,690000,"Minor customization, Design-based customization, Sample-based customization, Full customization","Raw-material traceability identification, Finished product inspection, QA/QC inspectors, Testing instruments, On-site material inspection, Quality traceability, Warranty available",CE,1847,4832626,-1,-1,-1,Yes,2,"Western Europe(50%), North America(17%), Eastern Europe(6%)","Retailer, Engineer, Wholesaler, Brand business, For private use, Manufacturer","sample processing, graphic processing, sample processing, graphic processing, customized on demand",-1,3
"Jiashan Pvb Sliding Bearing Co., Ltd.",https://oilesbearing.en.alibaba.com/factory.html?wx_navbar_transparent=true&productId=1600608998346,"Zhejiang, China ",5.0,8,,≤5h,1.0,49,60000,"Minor customization, Design-based customization, Sample-based customization, Full customization","Raw-material traceability identification, QA/QC inspectors, Testing instruments, On-site material inspection, Quality traceability",-1,3345,6209776,-1,144000000,-1,Yes,2,"Western Europe(35%), Northern Europe(15%), Eastern Europe(13%)","Engineer, Wholesaler, Brand business, Manufacturer","light customization, customized on demand, sample processing, graphic processing",21,2
"Wuxi Jdr Automation Equipment Co., Ltd.",https://wxfeiya.en.alibaba.com/factory.html?wx_navbar_transparent=true&productId=1600322337210,"Jiangsu, China ",4.8,22,,≤3h,1.0,163,100000,"Minor customization, Design-based customization, Sample-based customization, Full customization","Raw-material traceability identification, Finished product inspection, QA/QC inspectors, Testing instruments, On-site material inspection, Quality traceability, Warranty available","ISO 9001, CE, UL",7053,-1,3,-1,-1,Yes,13,"Domestic Market(66%), North America(8%), Eastern Asia(8%)","Retailer, Wholesaler, Brand business, Manufacturer","sample processing, graphic processing, customized on demand",11,7
"Ningbo Duohui Bearing Co., Ltd.",https://duohui888.en.alibaba.com/factory.html?wx_navbar_transparent=true&productId=1600752466121,"Zhejiang, China ",5.0,11,,≤2h,0.852,60,60000,"Minor customization, Design-based customization, Sample-based customization, Full customization","Finished product inspection, QA/QC inspectors, Testing instruments, On-site material inspection",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"Zhoushan Aosheng Auto Parts Co., Ltd.",https://zj-aosheng.en.alibaba.com/factory.html?wx_navbar_transparent=true&productId=546955737,"Zhejiang, China ",5.0,4,,≤5h,0.833,13,20000,"Minor customization, Design-based customization, Sample-based customization, Full customization","Raw-material traceability identification, Finished product inspection, QA/QC inspectors, Testing instruments, On-site material inspection, Quality traceability",-1,30000,2700000,20,10000000,118,Yes,10,"South America(30%), Mid East(30%), Southeast Asia(20%)","Wholesaler, Manufacturer","light customization, customized on demand, sample processing, graphic processing",24,10
"Guangdong Haozheng Hydraulic Equipment Co., Ltd.",https://haozhengyeya.en.alibaba.com/factory.html?wx_navbar_transparent=true&productId=1600673485187,"Guangdong, China ",5.0,16,,≤2h,0.85,-1,-1,"Minor customization, Design-based customization, Sample-based customization, Full customization, On-site technical support","Raw-material traceability identification, Finished product inspection, QA/QC inspectors, Testing instruments, On-site material inspection, Quality traceability",-1,5000,-1,2,16000,25,Yes,2,"Domestic Market(60%), Eastern Europe(8%), North America(6%)","Retailer, Engineer, Wholesaler, Brand business, For private use, Manufacturer","light customization, sample processing, graphic processing, customized on demand",50,1
"Luzhou Synthetic Hydraulic Parts Co., Ltd.",https://lzhecheng.en.alibaba.com/factory.html?wx_navbar_transparent=true&productId=1601060612175,"Sichuan, China ",-1,-1,,≤1h,1.0,-1,-1,"Minor customization, Design-based customization, Sample-based customization, Full customization","Raw-material traceability identification, Finished product inspection, QA/QC inspectors, Testing instruments, On-site material inspection, Quality traceability, Warranty available",ISO 9001,15805,-1,4,-1,100,Yes,12,"Domestic Market(70%), Eastern Europe(30%)","Wholesaler, Brand business, Manufacturer","light customization, sample processing, graphic processing, customized on demand",10,6
"Zhejiang Sihai New Material Co., Ltd.",https://sihairubberbelt.en.alibaba.com/factory.html?wx_navbar_transparent=true&productId=1600979827617,"Zhejiang, China ",4.8,6,,≤4h,0.875,-1,-1,"Minor customization, Design-based customization, Sample-based customization, Full customization","Raw-material traceability identification, Finished product inspection, QA/QC inspectors, Testing instruments, On-site material inspection, Quality traceability",ISO14001,20000,6212603,25,-1,150,Yes,3,"Domestic Market(40%), Southeast Asia(30%), Mid East(25%)","Retailer, Engineer, Wholesaler, For private use, Brand business, Manufacturer","sample processing, graphic processing, customized on demand",10,3
"Guangzhou Goodly Industry Belt Co., Ltd.",https://goodlybelt.en.alibaba.com/factory.html?wx_navbar_transparent=true&productId=1601116647215,"Guangdong, China ",4.9,54,,≤2h,0.992,241,150000,"Minor customization, Design-based customization, Sample-based customization, Full customization, On-site technical support","Raw-material traceability identification, Finished product inspection, QA/QC inspectors, Testing instruments, On-site material inspection, Quality traceability, Warranty available",RoHS,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"Ningbo ZT Bull Hydraulic Co., Ltd.",https://bullhydraulic.en.alibaba.com/factory.html?wx_navbar_transparent=true&productId=1600862982583,"Zhejiang, China ",4.9,14,,≤3h,0.972,104,490000,"Minor customization, Design-based customization, Sample-based customization, Full customization","Raw-material traceability identification, QA/QC inspectors, Testing instruments, On-site material inspection, Quality traceability, Warranty available",-1,10832,-1,5,-1,90,Yes,4,"South America(20%), Domestic Market(20%), Mid East(15%)","Retailer, Engineer, Wholesaler, Brand business, For private use, Manufacturer","sample processing, graphic processing, customized on demand",11,5
"Taizhou Hengchang Hydraulic Co., Ltd.",https://etlhyd.en.alibaba.com/factory.html?wx_navbar_transparent=true&productId=1600344841782,"Zhejiang, China ",5.0,10,,≤3h,1.0,-1,-1,"Minor customization, Design-based customization, Sample-based customization, Full customization","Raw-material traceability identification, Finished product inspection, QA/QC inspectors, Testing instruments, On-site material inspection, Quality traceability",-1,500,-1,-1,-1,-1,Yes,1,"Eastern Europe(18%), Southeast Asia(15%), South America(13%)","Retailer, Engineer, Wholesaler, Brand business, For private use, Manufacturer","sample processing, graphic processing, customized on demand, sample processing, graphic processing, customized on demand",-1,1
"Jiangsu Hydstar Hydraulic Technology Co., Ltd.",https://hydstarpump.en.alibaba.com/factory.html?wx_navbar_transparent=true&productId=1600080224225,"Jiangsu, China ",4.6,26,,≤4h,0.94,147,240000,"Minor customization, Design-based customization, Sample-based customization, Full customization","Raw-material traceability identification, Finished product inspection, QA/QC inspectors, Testing instruments, On-site material inspection, Quality traceability",ISO 9001,11510,-1,3,92000,47,Yes,3,"North America(42%), South America(16%), Domestic Market(14%)","Retailer, Engineer, Wholesaler, Brand business, For private use, Manufacturer","sample processing, light customization, customized on demand, graphic processing",69,5
"Sanmen Taili Motor Co., Ltd.",https://motortl.en.alibaba.com/factory.html?wx_navbar_transparent=true&productId=1600132374660,"Zhejiang, China ",4.8,6,,≤6h,0.5710000000000001,-1,-1,"Minor customization, Design-based customization, Sample-based customization, Full customization","Raw-material traceability identification, Finished product inspection, QA/QC inspectors, Testing instruments, On-site material inspection, Quality traceability, Warranty available",CE,55389,1720280,-1,-1,-1,Yes,10,"Domestic Market(95%), South America(1%), Eastern Europe(1%)","Retailer, Engineer, Wholesaler, Brand business, For private use, Manufacturer","sample processing, graphic processing, customized on demand",-1,20
"Shandong Tianxin Bearing Co., Ltd.",https://nxabearing.en.alibaba.com/factory.html?wx_navbar_transparent=true&productId=1601062851544,"Shandong, China ",5.0,10,,≤5h,1.0,-1,-1,"Minor customization, Design-based customization, Sample-based customization, Full customization","Raw-material traceability identification, Finished product inspection, QA/QC inspectors, Testing instruments, On-site material inspection, Quality traceability",-1,2816,-1,3,-1,42,Yes,5,"Eastern Europe(30%), Southeast Asia(20%), Mid East(20%)","Retailer, Engineer, Wholesaler, Brand business, For private use, Manufacturer","light customization, sample processing, graphic processing, customized on demand, light customization, customized on demand, graphic processing, sample processing",27,3
"Ruiou International Trade (shandong) Co., Ltd.",https://korobearing.en.alibaba.com/factory.html?wx_navbar_transparent=true&productId=1601166276605,"Shandong, China ",4.7,23,,≤1h,0.96,-1,-1,"Minor customization, Design-based customization, Sample-based customization, Full customization","Raw-material traceability identification, Finished product inspection, QA/QC inspectors, Testing instruments, On-site material inspection, Quality traceability, Warranty available",-1,2055,-1,2,-1,11,Yes,3,"North America(15%), Southeast Asia(15%), Mid East(14%)","Retailer, Engineer, Wholesaler, Brand business, For private use, Manufacturer","sample processing, graphic processing, customized on demand, sample processing, customized on demand, graphic processing",3,3
"Xingtai Tuoyuan Machinery Parts Co., Ltd.",https://hengfabearing.en.alibaba.com/factory.html?wx_navbar_transparent=true&productId=1600738783675,"Hebei, China ",4.9,48,,≤2h,0.99,175,390000,"Design-based customization, Sample-based customization, Full customization","Raw-material traceability identification, Finished product inspection, QA/QC inspectors, Testing instruments, On-site material inspection, Quality traceability, Warranty available","ISO14001, ISO 9001, ISO45001",12114,1020000,2,-1,35,Yes,2,"Domestic Market(55%), Southeast Asia(22%), South America(15%)","Engineer, Wholesaler, Brand business, For private use, Manufacturer","sample processing, graphic processing, customized on demand",100,1
"Shenyang New Densen Casting And Forging Co., Ltd.",https://ndensen.en.alibaba.com/factory.html?wx_navbar_transparent=true&productId=1601076467417,"Liaoning, China ",4.9,6,,≤2h,1.0,8,1200000,"Minor customization, Design-based customization, Sample-based customization","Raw-material traceability identification, Finished product inspection, QA/QC inspectors, Testing instruments, On-site material inspection, Quality traceability, Warranty available",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"Tianjin Semri Bearing Technology Co., Ltd.",https://semribearing.en.alibaba.com/factory.html?wx_navbar_transparent=true&productId=62442446698,"Tianjin, China ",4.9,27,,≤2h,0.976,95,170000,"Minor customization, Design-based customization, Sample-based customization, Full customization","Raw-material traceability identification, QA/QC inspectors, On-site material inspection, Quality traceability, Warranty available","ISO 9001, CE",750,5200000,-1,-1,-1,Yes,5,"North America(40%), South America(20%), Southeast Asia(10%)",-1,"graphic processing, customized on demand, sample processing",75,1
"Jinan Akira Trading Co., Ltd.",https://jnakira.en.alibaba.com/factory.html?wx_navbar_transparent=true&productId=1601205488151,"Shandong, China ",5.0,2,,≤3h,1.0,6,310000,"Minor customization, Design-based customization, Sample-based customization, Full customization, On-site technical support","Raw-material traceability identification, Finished product inspection, QA/QC inspectors, Testing instruments, On-site material inspection, Quality traceability",ISO 9001,5711,4541731,12,1190000,47,Yes,2,"Eastern Asia(72%), Southeast Asia(28%)","Retailer, Engineer, Wholesaler, Brand business, For private use, Manufacturer","sample processing, graphic processing, customized on demand, graphic processing",42,2
"Guangdong Xinda Motor Co., Ltd.",https://xindadj.en.alibaba.com/factory.html?wx_navbar_transparent=true&productId=1600493125082,"Guangdong, China ",4.7,18,,≤2h,0.9740000000000001,-1,-1,"Minor customization, Design-based customization, Sample-based customization, Full customization","Raw-material traceability identification, Finished product inspection, QA/QC inspectors, Testing instruments, On-site material inspection, Quality traceability",CE,4500,-1,3,-1,39,Yes,4,"Southeast Asia(40%), Western Europe(12%), North America(10%)","Retailer, Wholesaler, Brand business, Manufacturer","sample processing, graphic processing, customized on demand",20,3
"Ningbo Dexin Motor Co., Ltd.",https://nbmetaltec.en.alibaba.com/factory.html?wx_navbar_transparent=true&productId=1601208098438,"Zhejiang, China ",5.0,1,,≤7h,1.0,-1,-1,"Minor customization, Design-based customization, Sample-based customization, Full customization","Raw-material traceability identification, Finished product inspection, QA/QC inspectors, Testing instruments, On-site material inspection, Quality traceability, Warranty available","ISO 9001, RoHS",2500,-1,5,-1,40,Yes,3,"Southeast Asia(42%), Mid East(21%), North America(10%)","Retailer, Engineer, Wholesaler, Brand business, For private use, Manufacturer","sample processing, graphic processing, customized on demand, sample processing, graphic processing, customized on demand",6,6
"Ningbo Yade Fluid Connector Co., ltd.",https://yadefluid.en.alibaba.com/factory.html?wx_navbar_transparent=true&productId=1600964833796,"Zhejiang, China ",4.3,12,,≤4h,0.887,79,40000,"Minor customization, Design-based customization, Sample-based customization, Full customization","Finished product inspection, QA/QC inspectors, Testing instruments",-1,4000,-1,5,14000000,45,Yes,2,"South America(25%), North America(15%), Domestic Market(10%)","Retailer, Wholesaler, Manufacturer","light customization, sample processing, graphic processing, customized on demand, light customization",85,2
"Fujian Zhenyuan Hydraulic Equipment Co., Ltd.",https://cnzhenyuan.en.alibaba.com/factory.html?wx_navbar_transparent=true&productId=1600318549305,"Fujian, China ",4.6,27,,≤1h,0.9179999999999999,-1,-1,"Minor customization, Design-based customization, Sample-based customization, Full customization","Raw-material traceability identification, Finished product inspection, QA/QC inspectors, Testing instruments, On-site material inspection, Quality traceability",EN ISO 12100,256,-1,1,740,9,Yes,2,"Domestic Market(50%), Eastern Europe(20%), North America(10%)","Retailer, Engineer, Wholesaler, Manufacturer","customized on demand, sample processing, graphic processing",100,2
"Shanghai Ruan Long Industrial Automation Appliance Co., Ltd.",https://yolon.en.alibaba.com/factory.html?wx_navbar_transparent=true&productId=1600811019731,"Shanghai, China ",4.2,20,,≤3h,1.0,148,100000,"Minor customization, Design-based customization, Sample-based customization, Full customization","Raw-material traceability identification, Finished product inspection, QA/QC inspectors, Testing instruments, On-site material inspection, Quality traceability, Warranty available","ISO 9001, CE",2692,-1,3,-1,31,Yes,1,"North America(30%), Domestic Market(16%), Mid East(13%)","Retailer, Engineer, Wholesaler, Brand business, For private use, Manufacturer","sample processing, graphic processing, customized on demand, sample processing, graphic processing, customized on demand",10,2
"Hui Zhou Star China Motor Co., Ltd.",https://starchinamotor.en.alibaba.com/factory.html?wx_navbar_transparent=true&productId=1601044530078,"Guangdong, China ",4.9,6,,≤1h,1.0,-1,-1,"Design-based customization, Sample-based customization, Full customization, On-site technical support","Raw-material traceability identification, Finished product inspection, QA/QC inspectors, Testing instruments, On-site material inspection, Quality traceability","IATF 16949, ISO 9001, ISO14001",4600,1541462,20,-1,94,Yes,19,"Domestic Market(60%), South America(10%), Eastern Europe(10%)","Retailer, Engineer, Wholesaler, Brand business, For private use, Manufacturer","sample processing, graphic processing, customized on demand",60,5
"Dongguan Blince Machinery & Electronics Co., Ltd.",https://blince.en.alibaba.com/factory.html?wx_navbar_transparent=true&productId=1784283775,"Guangdong, China ",4.9,43,,≤2h,0.938,167,330000,"Minor customization, Design-based customization, Sample-based customization, Full customization","Raw-material traceability identification, Finished product inspection, QA/QC inspectors, Testing instruments, On-site material inspection, Quality traceability","ISO 9001, CE",3000,1520000,3,-1,35,Yes,2,"Southeast Asia(30%), Western Europe(18%), North America(15%)","Retailer, Engineer, Wholesaler, Brand business, For private use, Manufacturer","sample processing, graphic processing, customized on demand, sample processing, graphic processing, customized on demand",100,2
"Changsha Kaienli Hydraulic Technology Co., Ltd.",https://kaienli.en.alibaba.com/factory.html?wx_navbar_transparent=true&productId=1600728496055,"Hunan, China ",-1,-1,,≤5h,1.0,-1,-1,"Minor customization, Design-based customization, Sample-based customization, Full customization","Raw-material traceability identification, Finished product inspection, QA/QC inspectors, Testing instruments, On-site material inspection, Quality traceability, Warranty available","ISCC, CE",21527,-1,-1,-1,193,Yes,6,-1,"Retailer, Engineer, Wholesaler, Brand business, Manufacturer","sample processing, customized on demand, graphic processing, sample processing, graphic processing, customized on demand",-1,9
"Zhejiang Yueding Corrugated Tube Co., Ltd.",https://yueguan.en.alibaba.com/factory.html?wx_navbar_transparent=true&productId=1600658487201,"Zhejiang, China ",4.9,17,,≤2h,1.0,67,240000,"Agile supply chain, Minor customization, Design-based customization, Sample-based customization, Full customization, Centralized procurement available","Raw-material traceability identification, Finished product inspection, QA/QC inspectors, Testing instruments, On-site material inspection, Quality traceability, Warranty available","ISO14001, ISO 9001, ISO45001, IATF 16949, TUV mark, VDE",30000,-1,-1,-1,78,Yes,10,-1,-1,"light customization, sample processing, graphic processing, customized on demand",10,3
